regulatory_body,circular_number,section,title,text,applies_to,date
RBI,RBI/DPSS/2025-26/141,8.c,Dispute Management Framework,"The PA shall disclose comprehensive information regarding its merchant policies, privacy policy and other terms and conditions on its website and / or its mobile application.",["payment_gateway","disclosures","customer_protection"],2025-09-15
RBI,RBI/DPSS/2025-26/141,10.c,General Directions,"A PA shall ensure that the extant instructions with regard to Merchant Discount Rate (MDR) are followed. A PA shall also ensure that any charges, other than the price of goods / service / investment amount, charged by a merchant, are distinctly displayed to the payer prior to the transaction.",["payment_gateway","advertising","disclosures"],2025-09-15
RBI,RBI/DPSS/2025-26/141,18.b,General directions on Escrow account of PA,"Refunds, if any, for a particular transaction shall be routed back through the escrow account unless the refund is directly managed by the merchant and the payer has been made aware of the same, in terms of the contract between a PA and merchant.",["payment_gateway","settlement_claims","customer_protection"],2025-09-15
RBI,,Section 7,Key highlights: RBI's new norms for co-branded cards,"Co-branded cards, both debit and credit cards, should have an explicit indication of the co-branding arrangement. The merchant who is the co-branding partner is not allowed to advertise or market the co-branded card as their own product under any circumstance. The physical copy of the co-branded card must carry the name and branding of the card-issuing bank clearly.",["co_branding","advertising","disclosures"],2022-04-01
NPCI,,Section 1,Brand Mark,"Powered by UPI Logo must be used at all places where UPI API’s are being called.",["upi","branding","advertising"],
NPCI,,Section 9,The Logo Size,"Digital : In case of a digital communication, size of the UPI logo unit must not be smaller than 15 pixels height X 40 pixels width.",["upi","branding","advertising"],
NPCI,,Section 12,Improper Symbol Usage,"UPI logo or Fast-Forward symbols along with UPI as text are to be used to represent UPI related services. Usage of any other mnemonic, icon, visual or graphic element even for representational purposes is strictly prohibited.",["upi","branding","advertising"],
NPCI,,Section 41,UPI ID display style:,"UPI ID of the user should always be displayed at the home page below the partner apps logo. Font typeface: Font to be used is of the partner’s respective font typeface. Font size: UPI ID should be clearly visible and equal to the size of app logo in height. Font colour: On a white/light coloured background, font colour can be of the respective partner brand colour. And on a dark background, font colour should be white. And should mention the word UPI ID before the UPI ID as represented below.",["upi","branding","disclosures"],
ASCI,,1.1,CHAPTER - I TRUTHFUL & HONEST REPRESENTATION,"Advertisements must be truthful. All descriptions, claims and comparisons, which relate to matters of objectively ascertainable fact, should be capable of substantiation. Advertisers and advertising agencies are required to produce such substantiation as and when called upon to do so by The Advertising Standards Council of India.",["advertising","compliance"],
ASCI,,1.4,CHAPTER - I TRUTHFUL & HONEST REPRESENTATION,"Advertisements shall neither distort facts nor mislead the consumer by means of implications or omissions. Advertisements shall not contain statements or visual presentation, which directly, or by implication or by omission or by ambiguity or by exaggeration, are likely to mislead the consumer about the product advertised or the advertiser, or about any other product or advertiser.",["advertising","compliance"],
ASCI,,1.8,CHAPTER - I TRUTHFUL & HONEST REPRESENTATION,"Social media advertisements or promotions posted on the handles of media companies must be clearly identifiable and distinguishable from editorial or any other content. All such advertisements should add adequate disclosures upfront and prominently at the beginning of the post, such that audiences know they are interacting with an advertisement/promoted content.",["social_media","advertising","disclosures"],2025-07-10
ASCI,,3.4,CHAPTER - III AGAINST HARMFUL PRODUCTS / SERVICES / SITUATIONS,"Advertisements should contain nothing which is in breach of the law, nor omit anything which the law requires.",["advertising","compliance"],
ASCI,,Section 1,GUIDELINES FOR INFLUENCER ADVERTISING IN DIGITAL MEDIA - Disclosure,"All advertisements published by social media influencers or their representatives, on such influencers’ accounts must carry a disclosure label that clearly identifies it as an advertisement. Disclosure is required if there is any material connection between the advertiser and the influencer.",["influencer_marketing","advertising","disclosures"],
ASCI,,Section 1,GUIDELINES FOR ADVERTISING OF VIRTUAL DIGITAL ASSETS - Disclaimer,"All ads for VDA products and VDA exchanges, or featuring VDAs, must carry the following disclaimer. 'Crypto products and NFTs are unregulated and can be highly risky. There may be no regulatory recourse for any loss from such transactions.'",["vda","advertising","disclosures"],2022-02-23
ASCI,,Section 2,GUIDELINES FOR ADVERTISING OF VIRTUAL DIGITAL ASSETS - Restricted Words,"The words 'currency', 'securities', 'custodian' and 'depositories' may not be used in advertisements of VDA products or services as consumers associate these terms with regulated products.",["vda","advertising"],2022-02-23
CCPA,,2(e),Definitions,"“dark patterns” shall mean any practices or deceptive design pattern using user interface or user experience interactions on any platform that is designed to mislead or trick users to do something they originally did not intend or want to do, by subverting or impairing the consumer autonomy, decision making or choice, amounting to misleading advertisement or unfair trade practice or violation of consumer rights;",["dark_patterns","advertising","customer_protection"],2023-11-30
CCPA,,Section 1,Drip Pricing:,"Quoted prices in advertisements and e-commerce sites must include non-optional taxes, duties, fees and charges that apply to all or most buyers so as to prevent drip pricing. Drip pricing refers to a practice whereby elements of the prices are not revealed upfront, and the total price is only revealed at the very end of the buying process or post-confirmation of purchase.",["dark_patterns","advertising","disclosures"],2023-09-01
CCPA,,Section 1,Guidelines on Disclaimers,"A disclaimer shall not attempt to hide material information with respect to any claim made in such advertisement, the omission or absence of which is likely to make the advertisement deceptive or conceal its commercial intent and shall not attempt to correct a misleading claim made in an advertisement. Further, it provides that, a disclaimer shall be in the same language as the claim made in the advertisement and the font used in a disclaimer shall be the same as that used in the claim.",["advertising","disclosures"],2022-06-10
Ministry of Law and Justice,,5(1),Notice,"Every request for consent shall be accompanied or preceded by a notice given by the Data Fiduciary to the Data Principal, informing her,— (i) the personal data and the purpose for which the same is proposed to be processed; (ii) the manner in which she may exercise her rights under sub-section (4) of section 6 and section 13; and (iii) the manner in which the Data Principal may make a complaint to the Board, in such manner and as may be prescribed.",["kyc","disclosures","data_privacy"],2023-08-11
